halo, total_mass, baryon_mass, particle_mass, star_mass 
[234, 3.66360948637e+11 Msun, 37969897588.9 Msun, 3.28391051049e+11 Msun, 0]
[235, 3.08003196578e+11 Msun, 18165392612.9 Msun, 2.89837803965e+11 Msun, 0]
[236, 2.15132480517e+12 Msun, 2.45692877913e+11 Msun, 1.90563192726e+12 Msun, 0]
[237, 1.06333186304e+12 Msun, 2.2548718982e+11 Msun, 8.3784467322e+11 Msun, 0]
[238, 6.27638930243e+11 Msun, 1.14743053867e+11 Msun, 5.12895876376e+11 Msun, 0]
[239, 4.35066793814e+11 Msun, 44026716254.8 Msun, 3.91040077559e+11 Msun, 0]
[240, 7.31454958498e+11 Msun, 84999619012.1 Msun, 6.46455339486e+11 Msun, 0]
[241, 1.41227712306e+12 Msun, 2.54991259724e+11 Msun, 1.15728586334e+12 Msun, 0]
[242, 3.48540298136e+11 Msun, 23591501291.7 Msun, 3.24948796845e+11 Msun, 0]
[243, 3.19015553597e+11 Msun, 28489298791.2 Msun, 2.90526254806e+11 Msun, 0]
[244, 2.26413717815e+11 Msun, 21943818105.5 Msun, 2.04469899709e+11 Msun, 0]
[245, 3.10645272139e+11 Msun, 33199583307.9 Msun, 2.77445688831e+11 Msun, 0]
[246, 3.53176345606e+11 Msun, 44061918099.0 Msun, 3.09114427507e+11 Msun, 0]
[247, 3.73057992069e+11 Msun, 38470883453.0 Msun, 3.34587108616e+11 Msun, 0]
[248, 6.23552213611e+11 Msun, 65218581743.9 Msun, 5.58333631867e+11 Msun, 0]
[249, 3.41816423946e+11 Msun, 32013545598.0 Msun, 3.09802878348e+11 Msun, 0]
[250, 4.05321718584e+11 Msun, 62473199879.1 Msun, 3.42848518705e+11 Msun, 0]
[251, 3.08563858868e+11 Msun, 22168309106.9 Msun, 2.86395549761e+11 Msun, 0]
[252, 3.24978988961e+11 Msun, 50975554333.5 Msun, 2.74003434628e+11 Msun, 0]
[253, 8.03623687726e+11 Msun, 1.13795945271e+11 Msun, 6.89827742454e+11 Msun, 0]
[254, 3.12492400488e+11 Msun, 23343047363.6 Msun, 2.89149353125e+11 Msun, 0]
[255, 5.87798836333e+11 Msun, 95556485180.2 Msun, 4.92242351152e+11 Msun, 0]
[256, 3.88708069374e+11 Msun, 55497862439.7 Msun, 3.33210206934e+11 Msun, 0]
[257, 3.86079208815e+11 Msun, 58376608607.3 Msun, 3.27702600208e+11 Msun, 0]
[258, 4.34619024688e+11 Msun, 64232472352.5 Msun, 3.70386552336e+11 Msun, 0]
[259, 3.17127971238e+11 Msun, 42436085770.1 Msun, 2.74691885468e+11 Msun, 0]
[260, 3.63255469016e+11 Msun, 36241319649.3 Msun, 3.27014149367e+11 Msun, 0]
[261, 6.92914237577e+11 Msun, 1.15303982169e+11 Msun, 5.77610255408e+11 Msun, 0]
[262, 5.78483246935e+11 Msun, 79356387375.1 Msun, 4.9912685956e+11 Msun, 0]
[263, 2.70647998052e+11 Msun, 20740342851.2 Msun, 2.499076552e+11 Msun, 0]
[264, 3.7011483577e+11 Msun, 35527727154.0 Msun, 3.34587108616e+11 Msun, 0]
[265, 2.8156961844e+11 Msun, 15827593901.4 Msun, 2.65742024538e+11 Msun, 0]
[266, 2.70456226928e+11 Msun, 13664063319.8 Msun, 2.56792163608e+11 Msun, 0]
[267, 2.70084077935e+11 Msun, 18111070212.0 Msun, 2.51973007723e+11 Msun, 0]
[268, 5.40542369319e+11 Msun, 99933831224.7 Msun, 4.40608538094e+11 Msun, 0]
[269, 3.81503127577e+11 Msun, 47604469801.9 Msun, 3.33898657775e+11 Msun, 0]
